Site	Transmitter	Active	DX (m)	DY (m)	Polarisation	Antenna	Height (m)	Azimuth (°)	Mechanical Downtilt (°)	Main Calculation Radius (m)	Main Propagation Model	Transmission Loss (dB)	Reception Loss (dB)	Noise Figure (dB)	Hexagon groups	Hexagon radius (m)	Comments	TMA Equipment	Feeder Equipment	BTS Equipment	Transmission Feeder Length (m)	Reception Feeder Length (m)	Receiver antenna diversity gain (dB)	Miscellaneous Transmission Losses (dB)	Miscellaneous Reception Losses (dB)	Extended Calculation Radius (m)	Extended Propagation Model	Main Resolution (m)	Extended Resolution (m)	Additional Electrical Downtilt (°)	Number of Transmission Antenna Ports	Number of Reception Antenna Ports	Transmitter Type	COVERAGELAYER	BORDERCOORDINATION	Diversity	CoverageReported	PatternType	Optical	PARAMITRISATION_CLASS
BTS1	BTS1/L1	True	0	0	V	80010543|X|60|6.3|08|26	20	0	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS1	BTS1/L2	True	0	0	V	80010543|X|60|6.3|08|26	20	120	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS1	BTS1/L3	True	0	0	V	80010543|X|60|6.3|08|26	20	240	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS2	BTS2/L1	True	0	0	V	80010543|X|60|6.3|08|26	20	0	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS2	BTS2/L2	True	0	0	V	80010543|X|60|6.3|08|26	20	120	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS2	BTS2/L3	True	0	0	V	80010543|X|60|6.3|08|26	20	240	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS3	BTS3/L1	True	0	0	V	80010543|X|60|6.3|08|26	20	0	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS3	BTS3/L2	True	0	0	V	80010543|X|60|6.3|08|26	20	120	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS3	BTS3/L3	True	0	0	V	80010543|X|60|6.3|08|26	20	240	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS4	BTS4/L1	True	0	0	V	80010543|X|60|6.3|08|26	20	0	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS4	BTS4/L2	True	0	0	V	80010543|X|60|6.3|08|26	20	120	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS4	BTS4/L3	True	0	0	V	80010543|X|60|6.3|08|26	20	240	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS5	BTS5/L1	True	0	0	V	80010543|X|60|6.3|08|26	20	0	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS5	BTS5/L2	True	0	0	V	80010543|X|60|6.3|08|26	20	120	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS5	BTS5/L3	True	0	0	V	80010543|X|60|6.3|08|26	20	240	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS6	BTS6/L1	True	0	0	V	80010543|X|60|6.3|08|26	20	0	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS6	BTS6/L2	True	0	0	V	80010543|X|60|6.3|08|26	20	120	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS6	BTS6/L3	True	0	0	V	80010543|X|60|6.3|08|26	20	240	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS7	BTS7/L1	True	0	0	V	80010543|X|60|6.3|08|26	20	0	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
